sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR11855648,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-1-0.1,e1-0,
SRR11855649,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-1-0.2,e1-0,
SRR11855650,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82-1-0.3,e1-0,
SRR11855651,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-1-1.1,e1-1,e1-0
SRR11855652,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-1-1.2,e1-1,e1-0
SRR11855653,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82-1-1.3,e1-1,e1-0
SRR11855654,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-1-2.1,e1-2,e1-0
SRR11855655,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-1-2.2,e1-2,e1-0
SRR11855656,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82-1-2.3,e1-2,e1-0
SRR11855657,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-1-3.1,e1-3,e1-0
SRR11855658,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-1-3.2,e1-3,e1-0
SRR11855659,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82-1-3.3,e1-3,e1-0
SRR11855660,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-1-4.1,e1-4,e1-0
SRR11855661,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-1-4.2,e1-4,e1-0
SRR11855662,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82-1-4.3,e1-4,e1-0
SRR11855663,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-1-5.1,e1-5,e1-0
SRR11855664,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-1-5.2,e1-5,e1-0
SRR11855665,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82-1-5.3,e1-5,e1-0
SRR7609032,single,200,30,p3,Solanum lycopersicum,Hazera 3017,,pollen,immature,none,0h,control,ha-3-0.1,e3-0,
SRR7609033,single,200,30,p3,Solanum lycopersicum,Hazera 3017,,pollen,immature,none,0h,control,ha-3-0.2,e3-0,
SRR7609034,single,200,30,p3,Solanum lycopersicum,Hazera 3017,,pollen,immature,heat,2h,high,ha-3-1.1,e3-1,e3-0
SRR7609031,single,200,30,p3,Solanum lycopersicum,Hazera 3017,,pollen,immature,heat,2h,high,ha-3-1.2,e3-1,e3-0
SRR6512869,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,tetrad (MMC),none,0h,control,rs-4-1-0.1,e4-1-0,
SRR6512870,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,tetrad (MMC),none,0h,control,rs-4-1-0.2,e4-1-0,
SRR6512871,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,tetrad (MMC),heat,1h,medium,rs-4-1.1,e4-1,e4-1-0
SRR6512872,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,tetrad (MMC),heat,1h,medium,rs-4-1.2,e4-1,e4-1-0
SRR6512873,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),none,0h,control,rs-4-2-0.1,e4-2-0,
SRR6512874,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),none,0h,control,rs-4-2-0.2,e4-2-0,
SRR6512875,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),heat,1h,medium,rs-4-2.1,e4-2,e4-2-0
SRR6512876,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,post meotic (Microspore),heat,1h,medium,rs-4-2.2,e4-2,e4-2-0
SRR6512877,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),none,0h,control,rs-4-3-0.1,e4-3-0,
SRR6512878,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),none,0h,control,rs-4-3-0.2,e4-3-0,
SRR6512879,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),heat,1h,medium,rs-4-3.1,e4-3,e4-3-0
SRR6512880,single,200,30,p4,Solanum lycopersicum,Red Setter,,pollen,mature (bicellular pollen),heat,1h,medium,rs-4-3.2,e4-3,e4-3-0
SRR3420878,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,none,0h,control,mm-5-1-0.1,e5-1-0,
SRR3420879,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,none,0h,control,mm-5-1-0.2,e5-1-0,
SRR3420880,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,heat,1h,medium,mm-5-1.1,e5-1,e5-1-0
SRR3420881,paired,,,p5,Solanum lycopersicum,Moneymaker,,pollen,tetrad,heat,1h,medium,mm-5-1.2,e5-1,e5-1-0
SRR3420882,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,none,0h,control,rs-5-2-0.1,e5-2-0,
SRR3420883,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,none,0h,control,rs-5-2-0.2,e5-2-0,
SRR3420884,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,heat,1h,medium,rs-5-2.1,e5-2,e5-2-0
SRR3420885,paired,,,p5,Solanum lycopersicum,Red Setter,,pollen,tetrad,heat,1h,medium,rs-5-2.2,e5-2,e5-2-0
SRR2006791,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm-6-1-0,e6-1-0,
SRR2006792,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm-6-1,e6-1,e6-1-0
SRR2006793,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm-6-2-0,e6-2-0,
SRR2006794,single,200,30,p6,Solanum lycopersicum,Moneymaker,,leaf,,heat,1h,medium,mm-6-2,e6-2,e6-2-0
SRR2006795,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm-6-3-0,e6-3-0,
SRR2006796,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm-6-3,e6-3,e6-3-0
SRR2006797,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,none,0h,control,mm-6-4-0,e6-4-0,
SRR2006798,single,200,30,p6,Solanum lycopersicum,Moneymaker,,anther,,heat,1h,medium,mm-6-4,e6-4,e6-4-0
SRR1223238,single,200,30,p7,Solanum lycopersicum,Moneymaker,,leaf,,none,0h,control,mm-7-0,e7-0,
