"","e1-1","e1-2","e1-3","e1-4","e1-5","e2-1","e2-2","e2-3","e3-1","e4-1","e4-2","e4-3","e5-1","e5-2","e6-1","e6-2","e6-3","e6-4","e7-1","e8-1","e8-2","e9-1","e10-2","e11-1","e11-2","e11-3","e12-1","e12-2","e12-3","e14-1","e14-2","e14-3","e15-1","e15-2","e15-3","e15-4","e15-5","e17-1","e17-2","e18-1","e19-1","e19-2","e19-3","e19-4","e19-5","e19-6"
"Solyc00g160380.1.1",-2.1925388350939,0,0,1.90872804462559,0,0,9.36117185723995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1925388350939,0,0,1.90872804462559,0,3.26843174610783,0,0,0,0,0,0,0,0
"Solyc00g160400.1.1",-1.45704312612655,0,0,2.6669463553723,0,0,10.4684046068978,0,0,0,0,0,0,0,0,0,0,3.11373749968426,0,0,0,0,2.2347889997924,1.59194850286113,0,0,0,0,0,0,0,0,-1.45704312612655,0,0,2.6669463553723,0,0,0,0,0,0,0,0,0,0
"Solyc00g316530.1.1",-1.48349641603002,0,0,0,0,0,8.73027995924366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48349641603002,0,0,0,0,0,0,3.26437231933389,0,0,0,0,0,0
"Solyc00g500048.1.1",1.08827226285941,0,0,-1.67239296619928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20640167416993,0,0,0,0,0,0,0,0,0,1.08827226285941,0,0,-1.67239296619928,0,0,0,0,0,0,0,0,0,0
"Solyc00g500054.1.1",1.02344562774947,2.86459154083198,0,2.77313490754933,2.18215698314787,0,2.79249352844806,0,0,0,0,0,0,0,3.01348187971201,0,0,0,3.01348187971201,0,0,0,2.09763832303267,0,0,0,0,0,0,0,0,0,1.02344562774947,2.86459154083198,0,2.77313490754933,2.18215698314787,1.6138771167575,2.62584748904197,0,0,0,0,0,0,0
"Solyc00g500055.1.1",1.01841929293231,1.99655444052899,0,0,1.62484678107757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33401892710417,0,0,0,0,0,0,0,0,0,1.01841929293231,1.99655444052899,0,0,1.62484678107757,0,0,0,0,0,0,0,0,0
"Solyc00g500084.1.1",6.26866364583896,0,6.07776992854282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26866364583896,0,6.07776992854282,0,0,0,0,0,0,0,0,0,0,0
"Solyc00g500131.1.1",1.08827194066938,0,0,-1.67239247379532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20640193046541,0,0,0,0,0,0,0,0,0,1.08827194066938,0,0,-1.67239247379532,0,0,0,0,0,0,0,0,0,0
"Solyc00g500136.1.1",1.02344563497014,2.86459157550114,0,2.77313497008353,2.1821570059426,0,2.7924937498896,0,0,0,0,0,0,0,3.01348187971201,0,0,0,3.01348187971201,0,0,0,2.09763832258097,0,0,0,0,0,0,0,0,0,1.02344563497014,2.86459157550114,0,2.77313497008353,2.1821570059426,1.61387694315405,2.62584749810179,0,0,0,0,0,0,0
"Solyc00g500137.1.1",1.01841887627915,1.99655401999071,0,0,1.62484661635189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33401895579362,0,0,0,0,0,0,0,0,0,1.01841887627915,1.99655401999071,0,0,1.62484661635189,0,0,0,0,0,0,0,0,0
"Solyc00g500190.1.1",2.02609216615151,2.89472136829456,2.45055554185487,2.69921594734107,2.71509617039751,0,4.60400873626309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02609216615151,2.89472136829456,2.45055554185487,2.69921594734107,2.71509617039751,0,0,0,0,0,0,0,0,0
"Solyc00g500201.1.1",1.0882718513576,0,0,-1.67239270392839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20640440683785,0,0,0,0,0,0,0,0,0,1.0882718513576,0,0,-1.67239270392839,0,0,0,0,0,0,0,0,0,0
"Solyc00g500206.1.1",1.02344566096909,2.86459159290754,0,2.77313500949544,2.18215685898237,0,2.79249417777994,0,0,0,0,0,0,0,3.01348187971201,0,0,0,3.01348187971201,0,0,0,2.09763832269515,0,0,0,0,0,0,0,0,0,1.02344566096909,2.86459159290754,0,2.77313500949544,2.18215685898237,1.61387622151113,2.62584750928693,0,0,0,0,0,0,0
"Solyc00g500207.1.1",1.01841920741465,1.99655392722613,0,0,1.62484613082728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3340189836894,0,0,0,0,0,0,0,0,0,1.01841920741465,1.99655392722613,0,0,1.62484613082728,0,0,0,0,0,0,0,0,0
"Solyc00g500294.1.1",1.01433649083485,0,0,0,1.54930383483825,0,0,0,0,0,0,-2.11635459083505,-1.05970143335255,0,0,0,0,0,0,0,0,0,-2.9248062981514,0,0,0,0,0,0,0,0,0,1.01433649083485,0,0,0,1.54930383483825,0,0,0,0,0,0,0,0,0
"Solyc00g500295.1.1",1.08827176860264,0,0,-1.67239293665356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20640453005365,0,0,0,0,0,0,0,0,0,1.08827176860264,0,0,-1.67239293665356,0,0,0,0,0,0,0,0,0,0
"Solyc00g500322.1.1",1.17181182178447,0,0,0,1.01440090663459,0,0,0,0,0,0,0,0,0,0,-1.88452597843586,0,0,0,0,0,0,-2.37414666908842,0,0,0,0,0,0,0,0,0,1.17181182178447,0,0,0,1.01440090663459,0,0,0,0,0,0,0,0,0
"Solyc00g500330.1.1",1.08827109770401,0,0,-1.67239331939985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20640490195293,0,0,0,0,0,0,0,0,0,1.08827109770401,0,0,-1.67239331939985,0,0,0,0,0,0,0,0,0,0
"Solyc00g500338.1.1",5.56283225336989,0,0,6.13047242155015,0,0,8.61686900522105,0,0,0,7.0627299002568,6.26621609499031,9.91497958287608,9.66779907351927,7.19854588217328,0,5.62530726261041,9.40213640702218,7.19854588217328,0,0,0,10.7427725562806,0,7.28546944682342,6.01219960610065,0,0,0,0,0,0,5.56283225336989,0,0,6.13047242155015,0,6.65034067580343,0,0,0,0,0,0,0,0
"Solyc01g005120.3.1",-1.76095209113394,-1.66326150704158,-2.55032442728824,-1.63467213374726,-1.21630647975275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33194278466023,0,0,0,0,0,0,0,0,0,-1.76095209113394,-1.66326150704158,-2.55032442728824,-1.63467213374726,-1.21630647975275,0,0,-1.04764318180914,0,0,0,0,0,0
"Solyc01g005230.5.1",1.7382739223499,0,1.54226742208681,1.91178037903964,0,0,0,0,0,0,0,0,-1.96671515959754,-4.61716199680385,0,0,0,0,0,0,0,0,1.83271953884909,0,0,0,0,0,0,0,0,0,1.7382739223499,0,1.54226742208681,1.91178037903964,0,0,0,0,0,0,0,0,0,0
"Solyc01g005240.4.1",1.2178652202161,1.29128081686802,0,0,0,0,-1.91316217071202,0,3.91135740005313,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16074843857977,0,0,0,0,0,0,0,0,0,1.2178652202161,1.29128081686802,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g005350.4.1",-1.741858311844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.741858311844,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solyc01g005470.3.1",-2.19410756979069,0,0,-3.61229484098363,0,0,-5.33190504450934,0,0,0,0,0,0,0,2.64540425909814,1.29299195970199,0,0,2.64540425909814,0,0,0,1.3604036696778,0,0,0,0,-1.24183004258301,1.9216005665142,0,0,0,-2.19410756979069,0,0,-3.61229484098363,0,-4.53105179656437,-2.64509618022681,0,0,0,0,0,0,0
"Solyc01g005500.3.1",-5.51876250756136,0,0,-5.44380133819468,0,0,-3.45917034922223,0,0,0,0,0,0,1.82677520469614,0,0,0,0,0,0,0,0,0,0,0,0,4.23953939254116,0,0,0,0,0,-5.51876250756136,0,0,-5.44380133819468,0,0,-5.63270950925568,0,0,0,0,0,0,0
"Solyc01g005540.5.1",-1.20928569247233,-1.13038716995979,-1.23270990889201,-1.75524532033475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27895025033171,0,0,0,0,0,0,0,0,0,-1.20928569247233,-1.13038716995979,-1.23270990889201,-1.75524532033475,0,0,-1.34581229647234,0,0,0,0,0,0,0
"Solyc01g005590.2.1",-2.11637515803739,-2.52427866846603,-5.22741825228152,-6.0357591294684,-1.83409153776919,0,-3.59725270309327,0,0,0,0,0,0,-2.22274597282122,0,0,0,0,0,0,0,0,-4.79800120529668,0,0,0,0,0,0,0,0,0,-2.11637515803739,-2.52427866846603,-5.22741825228152,-6.0357591294684,-1.83409153776919,0,-2.68340885919992,0,0,0,0,0,0,0
