sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR11855648,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_c_1,e1-0,
SRR11855649,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_c_2,e1-0,
SRR11855650,paired,,,p1,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_c_3,e1-0,
SRR11855651,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_2h_1,e1-1,e1-0
SRR11855652,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_2h_2,e1-1,e1-0
SRR11855653,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_2h_3,e1-1,e1-0
SRR11855654,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_4h_1,e1-2,e1-0
SRR11855655,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_4h_2,e1-2,e1-0
SRR11855656,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_4h_3,e1-2,e1-0
SRR11855657,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_12h_1,e1-3,e1-0
SRR11855658,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_12h_2,e1-3,e1-0
SRR11855659,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_12h_3,e1-3,e1-0
SRR11855660,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_24h_1,e1-4,e1-0
SRR11855661,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_24h_2,e1-4,e1-0
SRR11855662,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_24h_3,e1-4,e1-0
SRR11855663,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_r_1,e1-5,e1-0
SRR11855664,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_r_2,e1-5,e1-0
SRR11855665,paired,,,p1,Solanum lycopersicum,M82,,leaf,,heat,recovery,high,m82_h_r_3,e1-5,e1-0
SRR7994049,single,200,30,p2,Solanum lycopersicum,Jinlingmeiyu,,leaf,,none,0h,control,jin_h_m_c_1,e2-1-0,
